numInitialJobs,queueServiceTime,numTandems,numQueues,queueDelay,switchDelay,communication,numPartitions,cmdline,simulated_time,elapsed_seconds,events_simulated,ev-per-sec,seq-ev-per-sec,speedup
2,exponential(10s),120,10,1s,1s,seq,1,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-1']",26821.223224500693,10.002,4461568.0,446067.58648270345,446067.58648270345,1.0
2,exponential(10s),120,10,1s,10s,seq,1,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=10s', '--multithreaded-parallel-simulation=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-1']",28741.977999749364,10.001,4722688.0,472221.57784221583,472221.57784221583,1.0
2,exponential(10s),120,10,1s,100s,seq,1,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=100s', '--multithreaded-parallel-simulation=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-1']",32745.691298398597,10.0849,4762624.0,472252.97226546623,472252.97226546623,1.0
2,exponential(10s),120,10,1s,1000s,seq,1,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1000s', '--multithreaded-parallel-simulation=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-1']",125098.74202123436,10.0008,5557248.0,555680.3455723543,555680.3455723543,1.0
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,2,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-2']",45513.79284401093,10.003,7545625.0,754336.1991402579,446067.58648270345,1.6910805043878878
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,3,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-3']",58435.43398587962,10.0009,9698808.0,969793.5185833275,446067.58648270345,2.1740954688733742
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,4,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-4']",72066.64312109914,10.0019,11960037.0,1195776.502464532,446067.58648270345,2.68070700203387
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,5,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-5']",75466.08411057742,10.1299,12539795.0,1237899.189528031,446067.58648270345,2.775138178698468
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,6,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-6']",78316.7657531516,10.001,12997010.0,1299571.0428957106,446067.58648270345,2.9133949255156253
2,exponential(10s),120,10,1s,1s,mt-mem-msgpacking,7,"['../cqn_dbg', '-s', '-n..', '-u', 'Cmdenv', '-f', 'omnetpp.ini', '-f', 'partitioning.ini', '--real-time-limit=10s', '--**.numInitialJobs=2', '--**.serviceTime=exponential(10s)', '--*.numTandems=120', '--**.numQueues=10', '--**.qDelay=1s', '--**.sDelay=1s', '--multithreaded-parallel-simulation=true', '--parsim-communications-class=cMultithreadedCommunications', '--parsim-multithreaded-comm-send-pointers=false', '-f', 'cqn-120-partitioning.ini', '-c', 'Cqn-120-7']",75750.56577270369,10.0008,12582045.0,1258103.8516918647,446067.58648270345,2.8204332478227454
