# id     name      type          display
 1       rte1      node.Node     i=misc/node_vs
 2       rte2      node.Node     i=misc/node_vs
 3       rte3      node.Node     i=misc/node_vs
 4       rte4      node.Node     i=misc/node_vs
 5       rte5      node.Node     i=misc/node_vs
 6       rte6      node.Node     i=misc/node_vs
 7       rte7      node.Node     i=misc/node_vs
 8       rte8      node.Node     i=misc/node_vs
 9       rte9      node.Node     i=misc/node_vs
10       rte10     node.Node     i=misc/node_vs
11       rte11     node.Node     i=misc/node_vs
12       rte12     node.Node     i=misc/node_vs
13       rte13     node.Node     i=misc/node_vs
14       rte14     node.Node     i=misc/node_vs
15       rte15     node.Node     i=misc/node_vs
16       rte16     node.Node     i=misc/node_vs
17       rte17     node.Node     i=misc/node_vs
18       rte18     node.Node     i=misc/node_vs
19       rte19     node.Node     i=misc/node_vs
20       rte20     node.Node     i=misc/node_vs
21       rte21     node.Node     i=misc/node_vs
22       rte22     node.Node     i=misc/node_vs
23       rte23     node.Node     i=misc/node_vs
24       rte24     node.Node     i=misc/node_vs
25       rte25     node.Node     i=misc/node_vs
26       rte26     node.Node     i=misc/node_vs
27       rte27     node.Node     i=misc/node_vs
28       rte28     node.Node     i=misc/node_vs
29       rte29     node.Node     i=misc/node_vs
30       rte30     node.Node     i=misc/node_vs
31       rte31     node.Node     i=misc/node_vs
32       rte32     node.Node     i=misc/node_vs
33       rte33     node.Node     i=misc/node_vs
34       rte34     node.Node     i=misc/node_vs
35       rte35     node.Node     i=misc/node_vs
36       rte36     node.Node     i=misc/node_vs
37       rte37     node.Node     i=misc/node_vs
38       rte38     node.Node     i=misc/node_vs
39       rte39     node.Node     i=misc/node_vs
40       rte40     node.Node     i=misc/node_vs
41       rte41     node.Node     i=misc/node_vs
42       rte42     node.Node     i=misc/node_vs
43       rte43     node.Node     i=misc/node_vs
44       rte44     node.Node     i=misc/node_vs
45       rte45     node.Node     i=misc/node_vs
46       rte46     node.Node     i=misc/node_vs
47       rte47     node.Node     i=misc/node_vs
48       rte48     node.Node     i=misc/node_vs
49       rte49     node.Node     i=misc/node_vs
50       rte50     node.Node     i=misc/node_vs
51       rte51     node.Node     i=misc/node_vs
52       rte52     node.Node     i=misc/node_vs
53       rte53     node.Node     i=misc/node_vs
54       rte54     node.Node     i=misc/node_vs
55       rte55     node.Node     i=misc/node_vs
56       rte56     node.Node     i=misc/node_vs

