# This file is part of the NetBuilder example
# id     name      type
 1       rte1      node.Node
 2       rte2      node.Node
 3       rte3      node.Node
 4       rte4      node.Node
 5       rte5      node.Node
 6       rte6      node.Node
 7       rte7      node.Node
 8       rte8      node.Node
 9       rte9      node.Node
10       rte10     node.Node
11       rte11     node.Node
12       rte12     node.Node
13       rte13     node.Node
14       rte14     node.Node
15       rte15     node.Node
16       rte16     node.Node
17       rte17     node.Node
18       rte18     node.Node
19       rte19     node.Node
20       rte20     node.Node
21       rte21     node.Node
22       rte22     node.Node
23       rte23     node.Node
24       rte24     node.Node
25       rte25     node.Node
26       rte26     node.Node
27       rte27     node.Node
28       rte28     node.Node
29       rte29     node.Node
30       rte30     node.Node
31       rte31     node.Node
32       rte32     node.Node
33       rte33     node.Node
34       rte34     node.Node
35       rte35     node.Node
36       rte36     node.Node
37       rte37     node.Node
38       rte38     node.Node
39       rte39     node.Node
40       rte40     node.Node
41       rte41     node.Node
42       rte42     node.Node
43       rte43     node.Node
44       rte44     node.Node
45       rte45     node.Node
46       rte46     node.Node
47       rte47     node.Node
48       rte48     node.Node
49       rte49     node.Node
50       rte50     node.Node
51       rte51     node.Node
52       rte52     node.Node
53       rte53     node.Node
54       rte54     node.Node
55       rte55     node.Node
56       rte56     node.Node

