#src,dest,speed,cost
LSR7,LSR0,5e7,259
LSR8,LSR3,5e7,474
LSR9,LSR4,5e7,540
LSR11,LSR7,5e7,264
LSR12,LSR11,5e7,275
LSR13,LSR0,5e7,1067
LSR13,LSR5,5e7,610
LSR13,LSR10,5e7,462
LSR14,LSR0,5e7,552
LSR14,LSR4,5e7,381
LSR14,LSR12,5e7,592
LSR16,LSR8,5e7,436
LSR18,LSR0,5e7,540
LSR18,LSR5,5e7,239
LSR18,LSR10,5e7,690
LSR18,LSR17,5e7,1977
LSR20,LSR2,5e7,760
LSR20,LSR6,5e7,834
LSR20,LSR17,5e7,751
LSR21,LSR2,5e7,508
LSR21,LSR6,5e7,756
LSR21,LSR19,5e7,411
LSR23,LSR4,5e7,757
LSR23,LSR12,5e7,456
LSR23,LSR22,5e7,522
LSR24,LSR9,5e7,722
LSR24,LSR15,5e7,1182
LSR25,LSR1,5e7,1363
LSR26,LSR6,5e7,747
LSR26,LSR7,5e7,393
LSR26,LSR18,5e7,514
LSR26,LSR19,5e7,594
LSR27,LSR4,5e7,420
LSR27,LSR8,5e7,668
LSR28,LSR21,5e7,907
LSR28,LSR22,5e7,720
LSR28,LSR25,5e7,638
LSR29,LSR2,5e7,1244
LSR29,LSR17,5e7,471
LSR30,LSR1,5e7,794
LSR30,LSR3,5e7,487
LSR31,LSR9,5e7,777
LSR31,LSR15,5e7,597
LSR32,LSR12,5e7,271
LSR32,LSR26,5e7,600
LSR33,LSR23,5e7,534
LSR33,LSR27,5e7,376
LSR34,LSR4,5e7,775
LSR34,LSR15,5e7,1370
LSR34,LSR16,5e7,383
LSR35,LSR1,5e7,1500
LSR35,LSR3,5e7,551
LSR35,LSR28,5e7,783
LSR35,LSR33,5e7,400
LSR36,LSR19,5e7,507
LSR36,LSR22,5e7,327
LSR36,LSR32,5e7,218

