NODES:
#name	x	y
LSR0	489	376
LSR1	999	983
LSR2	362	787
LSR3	890	698
LSR4	677	381
LSR5	360	282
LSR6	320	657
LSR7	476	439
LSR8	853	581
LSR9	670	237
LSR10	222	284
LSR11	531	437
LSR12	588	466
LSR13	348	152
LSR14	584	357
LSR15	905	32
LSR16	857	479
LSR17	25	866
LSR18	373	394
LSR19	488	651
LSR20	185	838
LSR21	453	748
LSR22	595	662
LSR23	647	542
LSR24	643	58
LSR25	686	999
LSR26	413	502
LSR27	766	518
LSR28	696	837
LSR29	104	950
LSR30	995	778
LSR31	763	109
LSR32	544	535
LSR33	757	563
LSR34	884	379
LSR35	767	675
LSR36	544	603

LINKS:
#src	dest	speed	cost
LSR7	LSR0	5e7	259
LSR8	LSR3	5e7	474
LSR9	LSR4	5e7	540
LSR11	LSR7	5e7	264
LSR12	LSR11	5e7	275
LSR13	LSR0	5e7	1067
LSR13	LSR5	5e7	610
LSR13	LSR10	5e7	462
LSR14	LSR0	5e7	552
LSR14	LSR4	5e7	381
LSR14	LSR12	5e7	592
LSR16	LSR8	5e7	436
LSR18	LSR0	5e7	540
LSR18	LSR5	5e7	239
LSR18	LSR10	5e7	690
LSR18	LSR17	5e7	1977
LSR20	LSR2	5e7	760
LSR20	LSR6	5e7	834
LSR20	LSR17	5e7	751
LSR21	LSR2	5e7	508
LSR21	LSR6	5e7	756
LSR21	LSR19	5e7	411
LSR23	LSR4	5e7	757
LSR23	LSR12	5e7	456
LSR23	LSR22	5e7	522
LSR24	LSR9	5e7	722
LSR24	LSR15	5e7	1182
LSR25	LSR1	5e7	1363
LSR26	LSR6	5e7	747
LSR26	LSR7	5e7	393
LSR26	LSR18	5e7	514
LSR26	LSR19	5e7	594
LSR27	LSR4	5e7	420
LSR27	LSR8	5e7	668
LSR28	LSR21	5e7	907
LSR28	LSR22	5e7	720
LSR28	LSR25	5e7	638
LSR29	LSR2	5e7	1244
LSR29	LSR17	5e7	471
LSR30	LSR1	5e7	794
LSR30	LSR3	5e7	487
LSR31	LSR9	5e7	777
LSR31	LSR15	5e7	597
LSR32	LSR12	5e7	271
LSR32	LSR26	5e7	600
LSR33	LSR23	5e7	534
LSR33	LSR27	5e7	376
LSR34	LSR4	5e7	775
LSR34	LSR15	5e7	1370
LSR34	LSR16	5e7	383
LSR35	LSR1	5e7	1500
LSR35	LSR3	5e7	551
LSR35	LSR28	5e7	783
LSR35	LSR33	5e7	400
LSR36	LSR19	5e7	507
LSR36	LSR22	5e7	327
LSR36	LSR32	5e7	218


